Charaktereigenschaft,Extroversion_Level
Offen,0.8
Zurückhaltend,0.2
Neugierig,0.7
Sorgfältig,0.4
Verlässlich,0.5
Wagemutig,0.9
Introvertiert,0.2
Extrovertiert,0.9
Kreativ,0.7
Analytisch,0.5
Geduldig,0.4
Emotional,0.6
Rational,0.3
Spontan,0.8
Ordentlich,0.5
Beharrlich,0.6
Impulsiv,0.8
Verantwortungsbewusst,0.7
Unentschlossen,0.4
Mutig,0.9
Schüchtern,0.1
Engagiert,0.7
Humorvoll,0.7
Ruhig,0.3
Ehrlich,0.8
Skeptisch,0.4
Sanftmütig,0.6
Temperamentvoll,0.8
Höflich,0.5
Dominant,0.9
Loyal,0.6
Kritisch,0.5
Gelassen,0.4
Selbstbewusst,0.8
Ängstlich,0.2
Sensibel,0.5
Tolerant,0.6
Gedankenvoll,0.5
Ignorant,0.2
Zuvorkommend,0.6
Eigenwillig,0.7
Sprachgewandt,0.8
Vorsichtig,0.3
Energiegeladen,0.9
Zielstrebig,0.7
Optimistisch,0.7
Pessimistisch,0.3
