Stadt,Bundesland,Hochschule
Aachen,Nordrhein-Westfalen,RWTH Aachen
Aalen,Baden-Württemberg,Hochschule Aalen
Albstadt-Ebingen,Baden-Württemberg,Hochschule Albstadt-Sigmaringen (Albstadt Campus)
Amberg,Bayern,Ostbayerische Technische Hochschule Amberg-Weiden
Ansbach,Bayern,Hochschule Ansbach
Aschaffenburg,Bayern,Hochschule Aschaffenburg
Aurich,Niedersachsen,Hochschule Emden/Leer (Aurich Campus)
Bad Honnef,Nordrhein-Westfalen,Hochschule Bonn-Rhein-Sieg (Bad Honnef Campus)
Bamberg,Bayern,Otto-Friedrich-Universität Bamberg
Bayreuth,Bayern,Universität Bayreuth
Berlin,Berlin,Freie Universität Berlin; Humboldt-Universität zu Berlin; Technische Universität Berlin; Hochschule für Technik und Wirtschaft Berlin; Kunsthochschule Berlin-Weißensee
Bielefeld,Nordrhein-Westfalen,Universität Bielefeld; Fachhochschule Bielefeld
Bocholt,Nordrhein-Westfalen,Hochschule Rhein-Waal (Bocholt Campus)
Bochum,Nordrhein-Westfalen,Ruhr-Universität Bochum; Hochschule Bochum
Bonn,Nordrhein-Westfalen,Rheinische Friedrich-Wilhelms-Universität Bonn; Hochschule Bonn-Rhein-Sieg
Brandenburg an der Havel,Brandenburg,Hochschule Brandenburg
Braunschweig,Niedersachsen,Technische Universität Braunschweig; Ostfalia Hochschule für angewandte Wissenschaften
Bremen,Bremen,Universität Bremen; Hochschule Bremen
Bremerhaven,Bremen,Hochschule Bremerhaven
Coburg,Bayern,Hochschule Coburg
Chemnitz,Sachsen,Technische Universität Chemnitz
Cottbus,Brandenburg,Brandenburgische Technische Universität Cottbus-Senftenberg
Deggendorf,Bayern,Hochschule Deggendorf
Dortmund,Nordrhein-Westfalen,Technische Universität Dortmund; Fachhochschule Dortmund
Dresden,Sachsen,Technische Universität Dresden; Hochschule für Technik und Wirtschaft Dresden
Duisburg,Nordrhein-Westfalen,Universität Duisburg-Essen (Duisburg Campus)
Dülmen,Nordrhein-Westfalen,Hochschule Münster (Dülmen Campus)
Düsseldorf,Nordrhein-Westfalen,Heinrich-Heine-Universität Düsseldorf; Hochschule Düsseldorf
Erfurt,Thüringen,Universität Erfurt; Fachhochschule Erfurt
Erlangen,Bayern,Friedrich-Alexander-Universität Erlangen-Nürnberg
Flensburg,Schleswig-Holstein,Hochschule Flensburg
Frankfurt am Main,Hessen,Goethe-Universität Frankfurt am Main; Frankfurt University of Applied Sciences
Freiburg im Breisgau,Baden-Württemberg,Albert-Ludwigs-Universität Freiburg; Hochschule für Technik Freiburg
Fulda,Hessen,Hochschule Fulda
Göttingen,Niedersachsen,Georg-August-Universität Göttingen; Hochschule Geisenheim University (nahe)
Greifswald,Mecklenburg-Vorpommern,Universität Greifswald; Hochschule Neubrandenburg (Campus in Greifswald)
Gütersloh,Nordrhein-Westfalen,Hochschule Ostwestfalen-Lippe
Hagen,Nordrhein-Westfalen,FernUniversität in Hagen
Hamm,Nordrhein-Westfalen,Technische Hochschule Westfalen-Lippe (Campus Hamm)
Hannover,Niedersachsen,Leibniz Universität Hannover; Hochschule Hannover
Heidelberg,Baden-Württemberg,Ruprecht-Karls-Universität Heidelberg; Hochschule für Kirchenmusik Heidelberg
Heidenheim an der Brenz,Baden-Württemberg,Hochschule Heidenheim
Heilbronn,Baden-Württemberg,Hochschule Heilbronn
Hildesheim,Niedersachsen,Universität Hildesheim; HAWK Hochschule für Angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen
Ingolstadt,Bayern,Hochschule Ingolstadt
Jena,Thüringen,Friedrich-Schiller-Universität Jena; Ernst-Abbe-Hochschule Jena
Kaiserslautern,Rheinland-Pfalz,Technische Universität Kaiserslautern
Kempten,Bayern,Hochschule Kempten
Kiel,Schleswig-Holstein,Christian-Albrechts-Universität zu Kiel; Muthesius Kunsthochschule (Kiel Campus)
Köln,Nordrhein-Westfalen,Universität zu Köln; Technische Hochschule Köln; Kunsthochschule für Medien Köln
Landshut,Bayern,Hochschule Landshut
Lübeck,Schleswig-Holstein,Universität zu Lübeck; Musikhochschule Lübeck
Ludwigsburg,Baden-Württemberg,Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen (Campus Ludwigsburg)
Lüneburg,Niedersachsen,Leuphana Universität Lüneburg
München,Bayern,Ludwig-Maximilians-Universität München; Technische Universität München; Hochschule München; Hochschule für Film und Fernsehen München
Magdeburg,Sachsen-Anhalt,Otto-von-Guericke-Universität Magdeburg; Hochschule Magdeburg-Stendal
Mainz,Rheinland-Pfalz,Johannes Gutenberg-Universität Mainz
Marburg,Hessen,Philipps-Universität Marburg
Mittweida,Sachsen,Hochschule Mittweida
Münster,Nordrhein-Westfalen,Westfälische Wilhelms-Universität Münster; Hochschule für Musik Münster
Neubrandenburg,Mecklenburg-Vorpommern,Hochschule Neubrandenburg
Nürnberg,Bayern,Friedrich-Alexander-Universität Erlangen-Nürnberg (Nürnberg Campus); Technische Hochschule Nürnberg
Offenburg,Baden-Württemberg,Hochschule Offenburg
Oldenburg,Niedersachsen,Universität Oldenburg; Jade Hochschule
Osnabrück,Niedersachsen,Universität Osnabrück; Hochschule Osnabrück
Paderborn,Nordrhein-Westfalen,Universität Paderborn
Passau,Bayern,Universität Passau
Potsdam,Brandenburg,Universität Potsdam; Fachhochschule Potsdam
Ratingen,Nordrhein-Westfalen,Hochschule Fresenius (Campus Ratingen)
Regensburg,Bayern,Universität Regensburg
Reutlingen,Baden-Württemberg,Hochschule Reutlingen
Rostock,Mecklenburg-Vorpommern,Universität Rostock; Hochschule Wismar (Campus Rostock)
Saarbrücken,Saarland,Universität des Saarlandes
Siegen,Nordrhein-Westfalen,Universität Siegen
Stuttgart,Baden-Württemberg,Universität Stuttgart; Hochschule für Technik Stuttgart
Trier,Rheinland-Pfalz,Universität Trier
Tübingen,Baden-Württemberg,Eberhard Karls Universität Tübingen
Ulm,Baden-Württemberg,Universität Ulm
Würzburg,Bayern,Julius-Maximilians-Universität Würzburg
