Jobtitel,Digitalaffinitaet
Softwareentwickler,1.0
Datenanalyst,0.95
Data Scientist,1.0
IT-Support-Spezialist,0.8
Systemadministrator,0.85
Netzwerktechniker,0.9
Cloud Engineer,0.95
DevOps Engineer,1.0
Webentwickler,0.95
Frontend-Entwickler,0.9
Backend-Entwickler,0.95
Fullstack-Entwickler,1.0
App-Entwickler,0.95
UI/UX Designer,0.85
Produktmanager IT,0.8
Projektmanager IT,0.7
Business Analyst,0.75
Cybersecurity Analyst,1.0
IT-Forensiker,0.95
Ethical Hacker,1.0
Datenbankadministrator,0.9
ERP-Spezialist,0.8
SAP-Berater,0.85
IT-Consultant,0.8
Maschinenbauingenieur,0.6
Elektroingenieur,0.7
Automatisierungstechniker,0.85
Robotics Engineer,0.95
Mechatroniker,0.6
Industrie 4.0 Spezialist,0.95
Bauingenieur,0.4
Architekt,0.5
Innenarchitekt,0.4
Landschaftsarchitekt,0.3
Mediengestalter Digital/Print,0.7
Grafikdesigner,0.6
Künstler,0.2
Fotograf,0.5
Videoproduzent,0.6
Musikproduzent,0.7
Tontechniker,0.6
Eventmanager,0.4
Marketingmanager,0.6
SEO-Spezialist,0.9
Content-Marketer,0.7
Social-Media-Manager,0.85
PR-Manager,0.4
Journalist,0.3
Redakteur,0.3
Autor,0.2
Übersetzer,0.3
Lehrer,0.2
Dozent,0.3
Professor,0.3
Erzieher,0.1
Psychologe,0.2
Sozialarbeiter,0.1
Pflegekraft,0.1
Arzt,0.3
Chirurg,0.4
Zahnarzt,0.3
Physiotherapeut,0.2
Apotheker,0.4
Pharmaforscher,0.6
Biologe,0.4
Chemiker,0.5
Laborant,0.4
Umweltingenieur,0.6
Geologe,0.3
Meteorologe,0.7
Astronom,0.8
Astrophysiker,0.9
Mathematiker,0.8
Statistiker,0.9
Wirtschaftsinformatiker,0.95
Betriebswirt,0.4
Volkswirt,0.5
Finanzanalyst,0.7
Steuerberater,0.3
Bankkaufmann,0.3
Versicherungskaufmann,0.2
Investmentbanker,0.5
Trader,0.7
Immobilienmakler,0.2
Vertriebsleiter,0.3
Key Account Manager,0.4
Kundendienstmitarbeiter,0.2
Hotelfachmann,0.1
Tourismusmanager,0.3
Reiseleiter,0.2
Koch,0.1
Konditor,0.1
Bäcker,0.1
Landwirt,0.1
Winzer,0.1
Forstwirt,0.1
Logistikmanager,0.5
Supply Chain Manager,0.6
Speditionskaufmann,0.2
Lagerist,0.1
Pilot,0.4
Fluglotse,0.7
Lokführer,0.2
Busfahrer,0.1
Taxifahrer,0.1
Polizist,0.2
Soldat,0.2
Richter,0.2
Rechtsanwalt,0.3
Notar,0.2
Politiker,0.3
NGO-Manager,0.3
Trainer,0.2
Coach,0.3
Berater allgemein,0.4
Personalreferent,0.3
Recruiter,0.5
HR-Manager,0.4
