anzahl;vorname;geschlecht;position
43;Marie;w;2
35;Maria;w;2
35;Sophie;w;2
29;Paul;m;1
29;Emma;w;1
26;Mia;w;1
24;Emil;m;1
24;Leni;w;1
23;Felix;m;1
23;Jakob;m;1
23;Marie;w;1
23;Noah;m;1
22;Anton;m;1
21;Emilia;w;1
21;Johanna;w;1
21;Lina;w;1
20;Lukas;m;1
20;Hannah;w;1
19;Paul;m;2
19;Leonie;w;1
18;Alexander;m;2
18;Ben;m;1
18;Sophia;w;1
17;Maximilian;m;1
17;Ella;w;1
17;Sophie;w;1
16;Finn;m;1
16;Jan;m;1
16;Milan;m;1
16;Anna;w;1
15;Julian;m;1
15;Lara;w;1
15;Lotta;w;1
15;Mira;w;1
14;Alexander;m;1
14;Jonas;m;1
14;Jonathan;m;1
14;Charlotte;w;1
14;Ida;w;1
13;Benjamin;m;1
13;Leo;m;1
13;Leon;m;1
13;Lena;w;1
13;Mila;w;1
12;Maximilian;m;2
12;Anna;w;2
12;Adam;m;1
12;Daniel;m;1
12;Julia;w;1
12;Henri;m;1
12;Luisa;w;1
12;Liam;m;1
12;Nora;w;1
12;Mats;m;1
12;Paula;w;1
12;Max;m;1
12;Ole;m;1
12;Oskar;m;1
11;Elias;m;2
11;Katharina;w;2
11;Clara;w;1
11;Hanna;w;1
11;Laura;w;1
11;Henry;m;1
11;Lea;w;1
11;Louis;m;1
11;Louisa;w;1
11;Luca;m;1
10;Karl;m;2
10;Johanna;w;2
10;Sophia;w;2
10;Emily;w;1
10;Aaron;m;1
10;Greta;w;1
10;Julius;m;1
10;Maria;w;1
10;Karl;m;1
10;Moritz;m;1
9;Josef;m;2
9;Charlotte;w;2
9;Luise;w;2
9;Frida;w;1
9;Jana;w;1
9;Adrian;m;1
9;Maja;w;1
9;Elias;m;1
9;Maya;w;1
9;Johann;m;1
9;Sara;w;1
9;Justus;m;1
9;Leonard;m;1
9;Levi;m;1
9;Nils;m;1
9;Theo;m;1
9;Tom;m;1
8;Felix;m;2
8;Johann;m;2
8;Michael;m;2
8;Elisabeth;w;2
8;Emilia;w;2
8;Frieda;w;1
8;Lia;w;1
8;Mathilda;w;1
8;Melina;w;1
8;Nele;w;1
8;Olivia;w;1
8;Jonah;m;1
8;Kilian;m;1
8;Vincent;m;1
7;Louisa;w;2
7;Carlotta;w;1
7;Elisa;w;1
7;Fiona;w;1
7;Amir;m;1
7;Helena;w;1
7;Arthur;m;1
7;Lisa;w;1
7;Carlo;m;1
7;Luise;w;1
7;David;m;1
7;Tilda;w;1
7;Emir;m;1
7;Erik;m;1
7;Fabian;m;1
7;Konstantin;m;1
7;Lio;m;1
7;Milo;m;1
7;Simon;m;1
7;Thilo;m;1
6;David;m;2
6;Gabriel;m;2
6;Maria;m;2
6;Peter;m;2
6;Louise;w;2
6;Amelie;w;1
6;Antonia;w;1
6;Finja;w;1
6;Lucy;w;1
6;Mina;w;1
6;Pia;w;1
6;Ronja;w;1
6;Sarah;w;1
6;Lars;m;1
6;Viktoria;w;1
6;Lennard;m;1
6;Mateo;m;1
6;Michael;m;1
6;Nicolas;m;1
6;Sam;m;1
5;Marie;w;3
5;Can;m;2
5;Luisa;w;2
5;Clemens;m;2
5;Magdalena;w;2
5;Friedrich;m;2
5;Nur;w;2
5;Georg;m;2
5;Henri;m;2
5;Jakob;m;2
5;Johannes;m;2
5;Julius;m;2
5;Martin;m;2
5;Noah;m;2
5;Samuel;m;2
5;Stefan;m;2
5;Alma;w;1
5;Elina;w;1
5;Eva;w;1
5;Jule;w;1
5;Juna;w;1
5;Bilal;m;1
5;Klara;w;1
5;Carl;m;1
5;Liliana;w;1
5;Gabriel;m;1
5;Luna;w;1
5;Jannik;m;1
5;Marla;w;1
5;Johannes;m;1
5;Merle;w;1
5;Joshua;m;1
5;Thea;w;1
5;Lasse;m;1
5;Victoria;w;1
5;Levin;m;1
5;Zoe;w;1
5;Luan;m;1
5;Luis;m;1
5;Malte;m;1
5;Matteo;m;1
5;Matti;m;1
5;Mattis;m;1
5;Mohammed;m;1
5;Nick;m;1
5;Philipp;m;1
5;Rafael;m;1
5;Samuel;m;1
5;Theodor;m;1
5;Till;m;1
5;Timo;m;1
5;Valentin;m;1
4;Katharina;w;3
4;Sophie;w;3
4;Clara;w;2
4;Elena;w;2
4;Elif;w;2
4;Elisa;w;2
4;Erika;w;2
4;Josefine;w;2
4;Josephine;w;2
4;Martha;w;2
4;Mia;w;2
4;Ben;m;2
4;Benedikt;m;2
4;Emil;m;2
4;Hans;m;2
4;Konstantin;m;2
4;Leonard;m;2
4;Leonhard;m;2
4;Louis;m;2
4;Luan;m;2
4;Matthias;m;2
4;Theodor;m;2
4;Wilhelm;m;2
4;Alva;w;1
4;Alya;w;1
4;Amelia;w;1
4;Amira;w;1
4;Chiara;w;1
4;Elena;w;1
4;Elisabeth;w;1
4;Isabella;w;1
4;Josefine;w;1
4;Josephine;w;1
4;Liya;w;1
4;Marlene;w;1
4;Medina;w;1
4;Mona;w;1
4;Nela;w;1
4;Ali;m;1
4;Stella;w;1
4;Damian;m;1
4;Valentina;w;1
4;Ferdinand;m;1
4;Florian;m;1
4;Fritz;m;1
4;Jamie;m;1
4;Janosch;m;1
4;Jason;m;1
4;Kaan;m;1
4;Karim;m;1
4;Lenn;m;1
4;Lino;m;1
4;Linus;m;1
4;Lorenz;m;1
4;Lucas;m;1
4;Luka;m;1
4;Luke;m;1
4;Mohammad;m;1
4;Nico;m;1
4;Niklas;m;1
4;Oscar;m;1
4;Philip;m;1
4;Raphael;m;1
4;Tobias;m;1
4;Toni;m;1
4;Yusuf;m;1
3;André;m;3
3;Leonard;m;3
3;Peter;m;3
3;Aurora;w;2
3;Hannah;w;2
3;Helene;w;2
3;Ida;w;2
3;Isabella;w;2
3;Lilly;w;2
3;Lotte;w;2
3;Lucia;w;2
3;Malena;w;2
3;Marlene;w;2
3;Paula;w;2
3;Rosa;w;2
3;Andreas;m;2
3;Sofia;w;2
3;Asaf;m;2
3;Sofie;w;2
3;Benjamin;m;2
3;Thea;w;2
3;Carl;m;2
3;Theresa;w;2
3;Christian;m;2
3;Theresia;w;2
3;Finn;m;2
3;Franz;m;2
3;Gustav;m;2
3;James;m;2
3;Jan;m;2
3;Joel;m;2
3;Jonas;m;2
3;Julian;m;2
3;Leo;m;2
3;Luca;m;2
3;Minh;m;2
3;Philipp;m;2
3;Sebastian;m;2
3;Simon;m;2
3;Thomas;m;2
3;Valentin;m;2
3;Adele;w;1
3;Amalia;w;1
3;Annika;w;1
3;Arya;w;1
3;Ava;w;1
3;Ayla;w;1
3;Bella;w;1
3;Diana;w;1
3;Dina;w;1
3;Dua;w;1
3;Ela;w;1
3;Eliana;w;1
3;Elif;w;1
3;Esra;w;1
3;Felicitas;w;1
3;Freya;w;1
3;Jonna;w;1
3;Juli;w;1
3;Leona;w;1
3;Liah;w;1
3;Lilia;w;1
3;Lilly;w;1
3;Linda;w;1
3;Liv;w;1
3;Ammar;m;1
3;Livia;w;1
3;Ayman;m;1
3;Lorena;w;1
3;Azad;m;1
3;Lotte;w;1
3;Benno;m;1
3;Lou;w;1
3;Burak;m;1
3;Lya;w;1
3;Caspar;m;1
3;Magdalena;w;1
3;Elyas;m;1
3;Mariam;w;1
3;Frederik;m;1
3;Marta;w;1
3;Fynn;m;1
3;Matilda;w;1
3;Hannes;m;1
3;Melek;w;1
3;Henryk;m;1
3;Milena;w;1
3;Hugo;m;1
3;Neele;w;1
3;Ian;m;1
3;Nina;w;1
3;Ivan;m;1
3;Romy;w;1
3;Jacob;m;1
3;Rosalie;w;1
3;Jannis;m;1
3;Ruby;w;1
3;Jano;m;1
3;Salma;w;1
3;Jasper;m;1
3;Samira;w;1
3;Jayden;m;1
3;Svea;w;1
3;Jona;m;1
3;Thalia;w;1
3;Lennart;m;1
3;Veronika;w;1
3;Leonhard;m;1
3;Yasmin;w;1
3;Lias;m;1
3;Lion;m;1
3;Lionel;m;1
3;Mael;m;1
3;Malek;m;1
3;Manuel;m;1
3;Mathis;m;1
3;Matthis;m;1
3;Maxim;m;1
3;Mika;m;1
3;Miran;m;1
3;Musa;m;1
3;Nassim;m;1
3;Rayan;m;1
3;Robert;m;1
3;Sami;m;1
3;Sebastian;m;1
3;Thore;m;1
3;Tim;m;1
3;Yasin;m;1
3;Yigit;m;1
3;Zakaria;m;1
3;Ömer;m;1
2;Ahmed;m;3
2;Angel;w;3
2;Anton;m;3
2;Charlotte;w;3
2;Friedrich;m;3
2;Elisabeth;w;3
2;Johann;m;3
2;Hildegard;w;3
2;Luca;m;3
2;Monika;w;3
2;Manfred;m;3
2;Maria;m;3
2;Otto;m;3
2;Theodor;m;3
2;Wilhelm;m;3
2;Amalia;w;2
2;Amelie;w;2
2;Amine;w;2
2;Anne;w;2
2;Antonia;w;2
2;Aurelia;w;2
2;Carlotta;w;2
2;Christin;w;2
2;Christine;w;2
2;Claire;w;2
2;Cristina;w;2
2;Elise;w;2
2;Eva;w;2
2;Grace;w;2
2;Greta;w;2
2;Gülsüm;w;2
2;Abdullah;m;2
2;Henriette;w;2
2;Adrian;m;2
2;Ioana;w;2
2;Ahmed;m;2
2;Jana;w;2
2;Ali;m;2
2;Kaur;w;2
2;Anton;m;2
2;Lia;w;2
2;Bruno;m;2
2;Lina;w;2
2;Christoph;m;2
2;Lisa;w;2
2;Efe;m;2
2;Lou;w;2
2;Emin;m;2
2;Lynn;w;2
2;Erich;m;2
2;Malin;w;2
2;Fabian;m;2
2;Malou;w;2
2;Heinrich;m;2
2;Margarete;w;2
2;Issa;m;2
2;Marlen;w;2
2;Jano;m;2
2;Martina;w;2
2;Jasper;m;2
2;María;w;2
2;Jonathan;m;2
2;Mei;w;2
2;Kaspar;m;2
2;Mina;w;2
2;Klaus;m;2
2;Monika;w;2
2;Konrad;m;2
2;Nisa;w;2
2;Leon;m;2
2;Noelle;w;2
2;Levent;m;2
2;Nour;w;2
2;Levi;m;2
2;Paulina;w;2
2;Luka;m;2
2;Romy;w;2
2;Lukas;m;2
2;Sara;w;2
2;Magnus;m;2
2;Su;w;2
2;Manuel;m;2
2;Viktoria;w;2
2;Marius;m;2
2;Zoé;w;2
2;Markus;m;2
2;Marlon;m;2
2;Mattis;m;2
2;Max;m;2
2;Miguel;m;2
2;Osemudiamen;m;2
2;Oskar;m;2
2;Otto;m;2
2;Pierre;m;2
2;Rafael;m;2
2;Tobias;m;2
2;Uddin;m;2
2;Vincent;m;2
2;Wolfgang;m;2
2;Yusuf;m;2
2;Aaliyah;w;1
2;Abigail;w;1
2;Ada;w;1
2;Adea;w;1
2;Alara;w;1
2;Alba;w;1
2;Alexandra;w;1
2;Aleyna;w;1
2;Alina;w;1
2;Aliya;w;1
2;Almira;w;1
2;Amaya;w;1
2;Amilia;w;1
2;Amina;w;1
2;Ana;w;1
2;Anastasia;w;1
2;Anissa;w;1
2;Annalena;w;1
2;Annie;w;1
2;Aurelia;w;1
2;Ayat;w;1
2;Aylin;w;1
2;Azra;w;1
2;Abdul;m;1
2;Carla;w;1
2;Adin;m;1
2;Ceylin;w;1
2;Alessio;m;1
2;Chayenne;w;1
2;Alex;m;1
2;Clea;w;1
2;Amin;m;1
2;Dania;w;1
2;Aras;m;1
2;Eda;w;1
2;Arian;m;1
2;Edda;w;1
2;Ayaz;m;1
2;Elmedina;w;1
2;Bela;m;1
2;Elsa;w;1
2;Berat;m;1
2;Emilie;w;1
2;Berkay;m;1
2;Erva;w;1
2;Bruno;m;1
2;Eslem;w;1
2;Caleb;m;1
2;Esther;w;1
2;Christian;m;1
2;Evangeline;w;1
2;Constantin;m;1
2;Felia;w;1
2;Dante;m;1
2;Flora;w;1
2;Davin;m;1
2;Franziska;w;1
2;Dean;m;1
2;Hana;w;1
2;Devid;m;1
