Eigenschaft,Label,Extroversion_Level
Geduldig,Stärke,0.4
Ungeduldig,Schwäche,0.5
Humorvoll,Stärke,0.7
Stur,Schwäche,0.3
Mitfühlend,Stärke,0.6
Reizbar,Schwäche,0.7
Optimistisch,Stärke,0.6
Pessimistisch,Schwäche,0.2
Zuverlässig,Stärke,0.6
Unpünktlich,Schwäche,0.7
Gerechtigkeitsliebend,Stärke,0.5
Nachtragend,Schwäche,0.4
Kreativ,Stärke,0.7
Unordentlich,Schwäche,0.3
Hilfsbereit,Stärke,0.6
Verschlossen,Schwäche,0.3
Selbstbewusst,Stärke,0.8
Unsicher,Schwäche,0.2
Anpassungsfähig,Stärke,0.6
Eigensinnig,Schwäche,0.5
Kommunikativ,Stärke,0.8
Schüchtern,Schwäche,0.2
Engagiert,Stärke,0.7
Faul,Schwäche,0.7
Lernbereit,Stärke,0.5
Starrköpfig,Schwäche,0.4
Zielstrebig,Stärke,0.7
Zögerlich,Schwäche,0.4
Verlässlich,Stärke,0.6
Unzuverlässig,Schwäche,0.8
Freundlich,Stärke,0.7
Unhöflich,Schwäche,0.6
Tolerant,Stärke,0.6
Engstirnig,Schwäche,0.5
Verantwortungsbewusst,Stärke,0.7
Gedanklich abwesend,Schwäche,0.5
Einfühlsam,Stärke,0.6
Unempathisch,Schwäche,0.4
Resilient,Stärke,0.6
Labil,Schwäche,0.3
Fleißig,Stärke,0.7
Nachlässig,Schwäche,0.5
Ruhig,Stärke,0.3
Nervös,Schwäche,0.6
Selbstkritisch,Stärke,0.5
Selbstzweifelnd,Schwäche,0.4
Geduldig,Stärke,0.4
Reizbar,Schwäche,0.7
Loyal,Stärke,0.5
Verräterisch,Schwäche,0.2
Pünktlich,Stärke,0.6
Unpünktlich,Schwäche,0.7
Mutig,Stärke,0.7
Ängstlich,Schwäche,0.3
Ordentlich,Stärke,0.5
Chaotisch,Schwäche,0.6
Klar im Kopf,Stärke,0.7
Verwirrt,Schwäche,0.4
Beharrlich,Stärke,0.6
Aufgeben,Schwäche,0.3
Inspirierend,Stärke,0.8
Demotivierend,Schwäche,0.7
Sorgfältig,Stärke,0.6
Unachtsam,Schwäche,0.5
Humorvoll,Stärke,0.7
Respektlos,Schwäche,0.4
Verbindlich,Stärke,0.7
Sprunghaft,Schwäche,0.7
Ehrlich,Stärke,0.8
Unehrlich,Schwäche,0.4
Aufmerksam,Stärke,0.6
Ablässig,Schwäche,0.6
Produktiv,Stärke,0.7
Träge,Schwäche,0.5
Zielorientiert,Stärke,0.7
Ablenkbar,Schwäche,0.6
Hilfsbereit,Stärke,0.6
Selbstsüchtig,Schwäche,0.2
Teamfähig,Stärke,0.7
Isolationistisch,Schwäche,0.3
Flexibel,Stärke,0.6
Rigid,Schwäche,0.5
Nachdenklich,Stärke,0.5
Oberflächlich,Schwäche,0.6
Verantwortungsbewusst,Stärke,0.7
Unverantwortlich,Schwäche,0.4
Verlässlich,Stärke,0.6
Unzuverlässig,Schwäche,0.8
