Eigenschaft,Label,Extroversion_Level
Teamfähigkeit,Stärke,0.7
Kommunikationsstark,Stärke,0.8
Perfektionismus,Schwäche,0.3
Zurückhaltung,Schwäche,0.2
Verantwortungsbewusst,Stärke,0.5
Zeitmanagement,Stärke,0.6
Impulsivität,Schwäche,0.9
Überengagement,Schwäche,0.5
Empathisch,Stärke,0.7
Entscheidungsschwäche,Schwäche,0.4
Organisationstalent,Stärke,0.6
Detailverliebtheit,Schwäche,0.4
Stressresistenz,Stärke,0.6
Unstrukturiert,Schwäche,0.3
Verhandlungsgeschick,Stärke,0.8
Introvertiert,Schwäche,0.1
Belastbar,Stärke,0.5
Unpünktlichkeit,Schwäche,0.7
Durchsetzungsfähig,Stärke,0.9
Oberflächlichkeit,Schwäche,0.6
Zielorientiert,Stärke,0.7
Eigensinnig,Schwäche,0.5
Innovativ,Stärke,0.6
Sprunghaftigkeit,Schwäche,0.8
Kreativ,Stärke,0.7
Abgelenkt,Schwäche,0.7
Zuverlässig,Stärke,0.6
Schüchtern,Schwäche,0.2
Motiviert,Stärke,0.8
Starrköpfig,Schwäche,0.4
Lernbereit,Stärke,0.5
Überkritisch,Schwäche,0.3
Geduldig,Stärke,0.4
Launisch,Schwäche,0.6
Engagiert,Stärke,0.7
Unentschlossen,Schwäche,0.5
Ehrgeizig,Stärke,0.7
Unaufmerksam,Schwäche,0.6
Selbstbewusst,Stärke,0.8
Ängstlich,Schwäche,0.3
Anpassungsfähig,Stärke,0.6
Stur,Schwäche,0.5
Strukturiert,Stärke,0.6
Überempfindlich,Schwäche,0.4
Teamorientiert,Stärke,0.7
Verschlossen,Schwäche,0.3
Loyal,Stärke,0.5
Freundlich,Stärke,0.7
Unzuverlässig,Schwäche,0.8
